Company_id,Company_Name,Industry,Employee_count,Job_ID,LinkedIn_Followers,Location_City,Location_State,Designation,Details_ID,Involvement,Level,Total_Applicants
C019,cure.fit (cult.fit),Wellness and Fitness Services,1001,J035,0,Bengaluru,Karnataka,Data Scientist,D084,Full-time,Mid-Senior level,NULL
C208,SORRIDENTS FRANCHISING,Wellness and Fitness Services,501,J067,0,Kalyanpur,Bihar,Auxiliar de Limpeza Clnica Odontolgica,D030,Full-time,Entry level,NULL
C173,CairnMartin,Venture Capital and Private Equity Principals,11,J088,0,Pune,Maharashtra,Head of HR (Corporate),D028,Full-time,Director,NULL
C212,"AbhiBus, an ixigo company.",Travel Arrangements,201,J333,0,Hyderabad,Telangana,AbhiBus - Manager - Brand Communications,D008,Full-time,Associate,NULL
C171,Delhivery,"Transportation, Logistics, Supply Chain and Storage",10000,J341,0,Bangalore Urban district,Karnataka,Associate,D030,Full-time,Entry level,NULL
C171,Delhivery,"Transportation, Logistics, Supply Chain and Storage",10000,J342,0,Bangalore Urban district,Karnataka,Associate,D033,Full-time,Entry level,121
C171,Delhivery,"Transportation, Logistics, Supply Chain and Storage",10000,J469,0,Gurgaon,Haryana,Associate,D030,Full-time,Entry level,NULL
C203,Costa Rica Malhas,Textile Manufacturing,1001,J507,0,Kalyanpur,Bihar,Gerente Comercial,D008,Full-time,Associate,NULL
C203,Costa Rica Malhas,Textile Manufacturing,1001,J279,0,Kalyanpur,Bihar,Gerente Comercial,D018,Full-time,Associate,3
C050,Jio,Telecommunications,10000,J022,800053,Hyderabad,Telangana,Software Engineer AI/ML,D004,Full-time,NULL,NULL
C017,airtel,Telecommunications,10000,J024,0,Manesar,Haryana,Data Analyst,D084,Full-time,Mid-Senior level,NULL
C034,BluSmart,"Technology, Information and Media",51,J025,85247,Gurugram,Haryana,Data Analyst,D084,Full-time,Mid-Senior level,NULL
C030,PayPal,"Technology, Information and Internet",10000,J026,0,Bangalore Urban district,Karnataka,Data Scientist,D004,Full-time,NULL,NULL
C023,Airbnb,"Technology, Information and Internet",5001,J028,2127258,Bengaluru,Karnataka,Analytics & Insight Analyst,D030,Full-time,Entry level,NULL
C023,Airbnb,"Technology, Information and Internet",5001,J221,2127258,Bengaluru,Karnataka,Analytics and Insights Analyst,D037,Full-time,Entry level,179
C047,Next Labs,"Technology, Information and Internet",11,J223,12374,Bengaluru,Karnataka,Data Analyst,D035,Full-time,Entry level,159
C030,PayPal,"Technology, Information and Internet",10000,J224,0,Bengaluru,Karnataka,Data Analyst 2,D004,Full-time,NULL,NULL
C030,PayPal,"Technology, Information and Internet",10000,J229,0,Bengaluru,Karnataka,Data Scientist 1,D004,Full-time,NULL,NULL
C023,Airbnb,"Technology, Information and Internet",5001,J326,2127258,Bengaluru,Karnataka,Analytics and Insights Analyst,D030,Full-time,Entry level,NULL
