Company_id,Company_Name,Industry,Employee_count,LinkedIn_Followers,,,
C001,MakeMyTrip,"Technology, Information and Internet",1001,0,,,
C002,Microsoft,Software Development,10000,0,,,
C003,Ford Motor Company,Motor Vehicle Manufacturing,10000,0,,,
C004,Conneqt Digital,IT Services and IT Consulting,10000,0,,,
C005,Trexquant Investment LP,Investment Management,51,3246,,,
C006,Indegene,Pharmaceutical Manufacturing,5001,0,,,
C007,Rolls-Royce,Industrial Machinery Manufacturing,10000,1165792,,,
C008,Hexaware Technologies,IT Services and IT Consulting,10000,0,,,
C009,Wipro,IT Services and IT Consulting,10000,0,,,
C010,Hypersonix Inc.,Software Development,51,11365,,,
C011,Sutherland,IT Services and IT Consulting,10000,0,,,
C012,WiseAnalytics.io,IT Services and IT Consulting,51,0,,,
C013,Rolls-Royce,Industrial Machinery Manufacturing,10000,1165799,,,
C014,Hypersonix Inc.,Software Development,51,0,,,
C015,Stellantis,Motor Vehicle Manufacturing,10000,0,,,
C016,Mercedes-Benz Research and Development India,Motor Vehicle Manufacturing,1001,0,,,
C017,airtel,Telecommunications,10000,0,,,
C018,Rolls-Royce,Industrial Machinery Manufacturing,10000,1165803,,,
C019,cure.fit (cult.fit),Wellness and Fitness Services,1001,0,,,
C020,Infosys,IT Services and IT Consulting,10000,0,,,
C021,SABIC,Chemical Manufacturing,10000,0,,,
C022,nference,Hospitals and Health Care,201,39403,,,
C023,Airbnb,"Technology, Information and Internet",5001,2127258,,,
C024,Apple,Computers and Electronics Manufacturing,10000,0,,,
C025,Amazon Web Services (AWS),IT Services and IT Consulting,10000,0,,,
C026,LeadSquared,Software Development,1001,0,,,
C027,Swiss Re,Insurance,10000,388361,,,
C028,Airbnb,"Technology, Information and Internet",5001,2127261,,,
C029,"ARKRAY,Inc.",Medical Equipment Manufacturing,1001,33629,,,
C030,PayPal,"Technology, Information and Internet",10000,0,,,
C031,Chubb,Insurance,10000,0,,,
C032,HCL Technologies,IT Services and IT Consulting,10000,0,,,
C033,Packt,E-Learning Providers,201,66548,,,
C034,BluSmart,"Technology, Information and Media",51,85247,,,
C035,OYO,"Technology, Information and Internet",5001,0,,,
C036,Samsung India,Computers and Electronics Manufacturing,10000,0,,,
C037,Airbnb,"Technology, Information and Internet",5001,2127266,,,
C038,Tata Consultancy Services,IT Services and IT Consulting,10000,0,,,
C039,Uber,"Technology, Information and Internet",10000,0,,,
C040,Media.net,"Technology, Information and Internet",1001,0,,,
C041,BluSmart,"Technology, Information and Media",51,0,,,
C042,Airbnb,"Technology, Information and Internet",5001,2127267,,,
C043,Airbnb,"Technology, Information and Internet",5001,0,,,
C044,Microsoft,Software Development,10000,17762622,,,
C045,Swiss Re,Insurance,10000,388362,,,
C046,LeadSquared,Software Development,1001,165450,,,
C047,Next Labs,"Technology, Information and Internet",11,12374,,,
C048,Kantar,Market Research,10000,590774,,,
C049,American Express,Financial Services,10000,1700423,,,
C050,Jio,Telecommunications,10000,800053,,,
C051,Rolls-Royce,Industrial Machinery Manufacturing,10000,1165814,,,
C052,cure.fit (cult.fit),Wellness and Fitness Services,1001,255800,,,
C053,Infosys,IT Services and IT Consulting,10000,6061862,,,
C054,PwC,Professional Services,10000,4523008,,,
C055,MakeMyTrip,"Technology, Information and Internet",1001,422821,,,
C056,Indegene,Pharmaceutical Manufacturing,5001,187719,,,
C057,Rolls-Royce,Industrial Machinery Manufacturing,10000,1165818,,,
C058,Hexaware Technologies,IT Services and IT Consulting,10000,621948,,,
C059,Wipro,IT Services and IT Consulting,10000,6063682,,,
C060,Hypersonix Inc.,Software Development,51,11373,,,
C061,MakeMyTrip,"Technology, Information and Internet",1001,422825,,,
C062,Microsoft,Software Development,10000,17762653,,,
C063,Microsoft,Software Development,10000,17762654,,,
C064,Ford Motor Company,Motor Vehicle Manufacturing,10000,3643242,,,
C065,WiseAnalytics.io,IT Services and IT Consulting,51,19756,,,
C066,Applied Materials,Semiconductor Manufacturing,10000,324976,,,
C067,Sivi,Software Development,11,1385,,,
C068,UST,IT Services and IT Consulting,10000,0,,,
C069,Volvo Cars,Motor Vehicle Manufacturing,10000,597195,,,
C070,Mercedes-Benz Research and Development India,Motor Vehicle Manufacturing,1001,696346,,,
C071,Navi,Financial Services,501,162210,,,
C072,Zyoin,Staffing and Recruiting,201,0,,,
C073,nference,Hospitals and Health Care,201,0,,,
C074,Microsoft,Software Development,10000,17762675,,,
C075,Zolve,Financial Services,51,0,,,
C076,Rolls-Royce,Industrial Machinery Manufacturing,10000,0,,,
C077,Microsoft,Software Development,10000,17762721,,,
C078,MakeMyTrip,"Technology, Information and Internet",1001,422829,,,
C079,Microsoft,Software Development,10000,17762723,,,
C080,Microsoft,Software Development,10000,17762725,,,
C081,Microsoft,Software Development,10000,17762728,,,
C082,Ford Motor Company,Motor Vehicle Manufacturing,10000,3643247,,,
C083,Rolls-Royce,Industrial Machinery Manufacturing,10000,1165823,,,
C084,Hypersonix Inc.,Software Development,51,11376,,,
C085,MakeMyTrip,"Technology, Information and Internet",1001,422832,,,
C086,Microsoft,Software Development,10000,17762758,,,
C087,Microsoft,Software Development,10000,17762760,,,
C088,Ford Motor Company,Motor Vehicle Manufacturing,10000,3643250,,,
C089,Mercedes-Benz Research and Development India,Motor Vehicle Manufacturing,1001,696355,,,
C090,Rolls-Royce,Industrial Machinery Manufacturing,10000,1165825,,,
C091,cure.fit (cult.fit),Wellness and Fitness Services,1001,255804,,,
C092,Infosys,IT Services and IT Consulting,10000,6061924,,,
C093,MakeMyTrip,"Technology, Information and Internet",1001,422835,,,
C094,nference,Hospitals and Health Care,201,39405,,,
C095,Apple,Computers and Electronics Manufacturing,10000,17247136,,,
C096,Amazon Web Services (AWS),IT Services and IT Consulting,10000,7414365,,,
C097,LeadSquared,Software Development,1001,165455,,,
C098,Swiss Re,Insurance,10000,388366,,,
C099,Genpact,IT Services and IT Consulting,10000,0,,,
C100,"ARKRAY,Inc.",Medical Equipment Manufacturing,1001,33630,,,
C101,Airbnb,"Technology, Information and Internet",5001,2127292,,,
C102,PayPal,"Technology, Information and Internet",10000,1133036,,,
C103,Chubb,Insurance,10000,614718,,,
C104,Packt,E-Learning Providers,201,66551,,,
C105,PayPal,"Technology, Information and Internet",10000,1133037,,,
C106,Rolls-Royce,Industrial Machinery Manufacturing,10000,1165827,,,
C107,LTI - Larsen & Toubro Infotech,IT Services and IT Consulting,10000,0,,,
C108,McKinsey & Company,Business Consulting and Services,10000,0,,,
C109,Swiss Re,Insurance,10000,0,,,
C110,Games24x7,"Technology, Information and Internet",501,0,,,
C111,IQVIA,Hospitals and Health Care,10000,0,,,
C112,Navi,Financial Services,501,0,,,
C113,EXL,IT Services and IT Consulting,10000,0,,,
C114,Aon,Financial Services,10000,0,,,
C115,Packt,E-Learning Providers,201,0,,,
C116,Hypersonix Inc.,Software Development,51,11380,,,
C117,Microsoft,Software Development,10000,17762936,,,
C118,Microsoft,Software Development,10000,17762937,,,
C119,Ford Motor Company,Motor Vehicle Manufacturing,10000,3643266,,,
C120,Rolls-Royce,Industrial Machinery Manufacturing,10000,1165842,,,
C121,Hypersonix Inc.,Software Development,51,11381,,,
C122,Microsoft,Software Development,10000,17762958,,,
C123,MakeMyTrip,"Technology, Information and Internet",1001,422841,,,
C124,Microsoft,Software Development,10000,17762960,,,
C125,Microsoft,Software Development,10000,17762962,,,
C126,Microsoft,Software Development,10000,17762964,,,
C127,Ford Motor Company,Motor Vehicle Manufacturing,10000,3643267,,,
C128,Microsoft,Software Development,10000,17762966,,,
C129,Rolls-Royce,Industrial Machinery Manufacturing,10000,1165844,,,
C130,MakeMyTrip,"Technology, Information and Internet",1001,422842,,,
C131,Microsoft,Software Development,10000,17762985,,,
C132,Microsoft,Software Development,10000,17762986,,,
C133,Bosch Global Software Technologies,IT Services and IT Consulting,10000,790661,,,
C134,Alight Solutions,IT Services and IT Consulting,10000,121100,,,
C135,HERE Technologies,IT Services and IT Consulting,5001,188072,,,
C136,Salesforce,Software Development,10000,3915833,,,
C137,UniAcco,Real Estate,201,0,,,
C138,Fidelity Investments,Financial Services,10000,712188,,,
C139,Koch Business Solutions India,Oil and Gas,1001,25585,,,
C140,UST,IT Services and IT Consulting,10000,659814,,,
C141,Cloudera,Software Development,1001,225602,,,
C142,Tyson Foods India,Food and Beverage Manufacturing,10000,17139,,,
C143,WPP,Advertising Services,10000,305719,,,
C144,EY,Accounting,10000,6646031,,,
C145,Salesforce,Software Development,10000,0,,,
C146,Uplers,IT Services and IT Consulting,1001,0,,,
C147,Philips,Hospitals and Health Care,10000,0,,,
C148,Concentrix,IT Services and IT Consulting,10000,0,,,
C149,Becton Dickenson,Biotechnology Research,51,0,,,
C150,OJCommerce,"Technology, Information and Internet",51,0,,,
C151,Infoparks Kerala,IT Services and IT Consulting,10000,0,,,
C152,Boeing,Aviation and Aerospace Component Manufacturing,10000,0,,,
C153,Trexquant Investment LP,Investment Management,51,0,,,
C154,D. E. Shaw India Private Limited,Financial Services,501,0,,,
C155,TE Connectivity,"Appliances, Electrical, and Electronics Manufacturing",10000,0,,,
C156,American Express,Financial Services,10000,0,,,
C157,Tata 1mg,"Technology, Information and Internet",1001,0,,,
C158,PwC,Professional Services,10000,0,,,
C159,LTI - Larsen & Toubro Infotech,IT Services and IT Consulting,10000,1756770,,,
C160,Airbnb,"Technology, Information and Internet",5001,2127379,,,
C161,IQVIA,Hospitals and Health Care,10000,1447521,,,
C162,McKinsey & Company,Business Consulting and Services,10000,4726555,,,
C163,Media.net,"Technology, Information and Internet",1001,226593,,,
C164,BluSmart,"Technology, Information and Media",51,85251,,,
C165,Airbnb,"Technology, Information and Internet",5001,2127380,,,
C166,Wipro,IT Services and IT Consulting,10000,6063916,,,
C167,Microsoft,Software Development,10000,17763358,,,
C168,D. E. Shaw India Private Limited,Financial Services,501,72258,,,
C169,GTFoods Group,Food and Beverage Manufacturing,10000,0,,,
C170,Moda Fashion,Manufacturing,1,0,,,
C171,Delhivery,"Transportation, Logistics, Supply Chain and Storage",10000,0,,,
C172,MS Consultoria,Business Consulting and Services,1,0,,,
C173,CairnMartin,Venture Capital and Private Equity Principals,11,0,,,
C174,Solvios Technology,Software Development,11,0,,,
C175,BD,Medical Equipment Manufacturing,10000,0,,,
C176,Brunel,Staffing and Recruiting,10000,0,,,
C177,JioSaavn,"Technology, Information and Internet",201,0,,,
C178,ResultPubli,Advertising Services,51,0,,,
C179,Tata Steel,Mining,10000,0,,,
C180,Bandhan Bank,Banking,10000,0,,,
C181,ESSENWARE PRIVATE LIMITED,Software Development,51,0,,,
C182,qSEAp Infotech Pvt Ltd,Computer and Network Security,201,0,,,
C183,AUROBINDO PHARMA LTD,Pharmaceutical Manufacturing,10000,0,,,
C184,Niswey,Advertising Services,11,0,,,
C185,Barclays,Financial Services,10000,0,,,
C186,Delta Exchange,Financial Services,11,0,,,
C187,CAW Studios,Software Development,51,0,,,
C188,Google Operations Center,"Technology, Information and Internet",1001,0,,,
C189,Ola,"Technology, Information and Internet",5001,0,,,
C190,EY,Accounting,10000,0,,,
C191,PwC India,Business Consulting and Services,5001,0,,,
C192,In Time Tec,Software Development,501,0,,,
C193,2COMS Consulting Pvt. Ltd.,Human Resources Services,10000,0,,,
