Job_ID,Company_ID,Location_City,Location_State,Designation,Details_ID
J001,C174,Ahmedabad,Gujarat,Manual Tester,D084
J002,C174,Ahmedabad,Gujarat,Manual Tester,D084
J003,C191,Ahmedabad,Gujarat,Associate,D030
J004,C174,Ahmedabad,Gujarat,Manual Tester,D096
J005,C174,Ahmedabad,Gujarat,Manual Tester,D096
J006,C002,,Andhra Pradesh,Data Science Internship Opportunity for University Graduates,D098
J007,C002,,Assam,Data Science Internship Opportunity for University Graduates,D098
J008,C016,Bangalore Urban,Karnataka,Data Scientist,D008
J009,C026,Bangalore Urban,Karnataka,Data Analyst,D008
J010,C036,Bangalore Urban,Karnataka,Data Scientist/Senior Data Scientist/Principal Data Scientist,D084
J011,C026,Bangalore Urban,Karnataka,Data Analyst,D008
J012,C048,Bangalore Urban,Karnataka,Consultant,D084
J013,C016,Bangalore Urban,Karnataka,Data Scientist,D008
J014,C071,Bangalore Urban,Karnataka,Data Analyst - Internship,D098
J015,C036,Bangalore Urban,Karnataka,Data Scientist/Senior Data Scientist/Principal Data Scientist,D084
J016,C071,Bangalore Urban,Karnataka,Data Analyst - Internship,D098
J017,C071,Bangalore Urban,Karnataka,Data Analyst - Internship,D098
J018,C071,Bangalore Urban,Karnataka,Data Analyst - Internship,D098
J019,C222,Bangalore Urban,Karnataka,Senior Software Engineer DLC,D008
J020,C030,Bangalore Urban district,Karnataka,Data Scientist,D004
J021,C030,Bangalore Urban district,Karnataka,Data Scientist,D004
J022,C171,Bangalore Urban district,Karnataka,Associate,D030
J023,C182,Bangalore Urban district,Karnataka,Marketing Intern,D053
J024,C171,Bangalore Urban district,Karnataka,Associate,D030
J025,C171,Bangalore Urban district,Karnataka,Associate,D033
J026,C171,Bangalore Urban district,Karnataka,Associate,D033
J027,C182,Bangalore Urban district,Karnataka,Marketing Intern,D058
J028,C171,Bangalore Urban district,Karnataka,Associate,D033
J029,C176,Barmer,Rajasthan,Field HSE Supervisor,D008
J030,C176,Barmer,Rajasthan,Field HSE Supervisor,D019
J031,C176,Barmer,Rajasthan,Field HSE Supervisor,D019
J032,C004,Bengaluru,Karnataka,Data Scientist,D008
J033,C007,Bengaluru,Karnataka,Data Scientist,D084
J034,C015,Bengaluru,Karnataka,Data Scientist,D084
J035,C019,Bengaluru,Karnataka,Data Scientist,D084
J036,C020,Bengaluru,Karnataka,Data Scientist,D030
J037,C021,Bengaluru,Karnataka,Data Scientist,D001
J038,C022,Bengaluru,Karnataka,Data Scientist,D084
J039,C025,Bengaluru,Karnataka,Data Scientist Intern,D004
J040,C027,Bengaluru,Karnataka,Junior Data Scientist,D004
J041,C023,Bengaluru,Karnataka,Analytics & Insight Analyst,D030
J042,C031,Bengaluru,Karnataka,Data Scientist,D084
J043,C023,Bengaluru,Karnataka,Analytics and Insights Analyst,D037
J044,C023,Bengaluru,Karnataka,Analytics & Insight Analyst,D030
J045,C027,Bengaluru,Karnataka,Junior Data Scientist,D004
